L,p,variant,eval_set,mean,std,n_seeds
4,0.05,w1,weight1,3.395285e-01,0.000000e+00,5
4,0.05,w1,weight2,2.703742e-01,0.000000e+00,5
4,0.05,w1,random,2.263023e-01,6.909054e-03,5
4,0.05,w2,weight1,4.365736e-01,0.000000e+00,5
4,0.05,w2,weight2,3.025657e-01,0.000000e+00,5
4,0.05,w2,random,2.615828e-01,9.874045e-03,5
4,0.05,w2full,weight1,4.300225e-01,5.551115e-17,5
4,0.05,w2full,weight2,3.073845e-01,0.000000e+00,5
4,0.05,w2full,random,2.626830e-01,9.146513e-03,5
6,0.05,w1,weight1,1.903117e-01,0.000000e+00,5
6,0.05,w1,weight2,1.316259e-01,0.000000e+00,5
6,0.05,w1,random,1.073620e-01,6.317774e-03,5
6,0.05,w2,weight1,2.064232e-01,0.000000e+00,5
6,0.05,w2,weight2,1.339865e-01,0.000000e+00,5
6,0.05,w2,random,1.151479e-01,7.665810e-03,5
6,0.05,w2full,weight1,2.245742e-01,0.000000e+00,5
6,0.05,w2full,weight2,1.446859e-01,0.000000e+00,5
6,0.05,w2full,random,1.240732e-01,7.816323e-03,5
